ObjectId,power_type_cn,province_cn,merge_province_cn,capacity_mw,gen_mwh,curt_mwh,potential_mwh,curtailment_rate,gen_utilization_hours,curtailed_equivalent_hours,potential_resource_hours,curt_positive_hours,available_low_cost_electricity_mwh,h2_alkaline_55kwh_t,h2_pem_56kwh_t,status,start_year,project_name,latitude,longitude
6247,光伏,新疆,新疆,400.0,466998.02260410006,131717.39099090002,598715.413595,0.22,1167.4950565102502,329.29347747725,1496.7885339875002,2082,131717.39099090002,2394.8616543800003,2352.096267694644,operating,2023.0,Xinjiang Corps South 14th Division solar power plant,37.159,79.549
6249,光伏,西藏,西藏,60.0,60399.79468187402,51451.67695122599,111851.4716331,0.4599999999999999,1006.6632446979004,857.5279491870999,1864.191193885,2700,51451.67695122599,935.4850354768362,918.7799455576072,operating,2023.0,Tibet Nyem (China Nuclear) Storage And solar farm,29.5465,90.2642
6250,光伏,山西,山西,50.0,69747.41038824999,9963.915769749998,79711.326158,0.1249999999999999,1394.9482077649998,199.278315395,1594.22652316,1779,9963.915769749998,181.1621049045454,177.92706731696424,operating,2017.0,Shanxi Xinzhou Wutai Yingli solar farm,38.838,113.3696
6251,光伏,新疆,新疆,20.0,24756.595848192,6982.629598208,31739.225446400003,0.2199999999999999,1237.8297924096,349.1314799104,1586.96127232,2184,6982.629598208,126.9569017856,124.68981425371427,operating,2015.0,Xinjiang Balikun Santanghuxiang Shangfeng solar farm,44.7063,94.0963
6252,光伏,山西,山西,50.0,66355.2272873875,9479.318183912505,75834.5454713,0.125,1327.10454574775,189.58636367825008,1516.6909094260002,1715,9479.318183912505,172.35123970750007,169.27353899843757,operating,2023.0,Shanxi Xinzhou Xinfu District Huyuetong solar power plant,38.4252,112.7537
6253,光伏,新疆,新疆,100.0,122045.708785962,34423.14863193802,156468.85741790003,0.22,1220.45708785962,344.23148631938017,1564.6885741790002,2227,34423.14863193802,625.8754296716004,614.699082713179,operating,2018.0,Xinjiang Mulei Jingheng solar farm,43.8332,90.2839
6259,光伏,新疆,新疆,400.0,437548.1283770221,123411.01056787804,560959.1389449,0.22,1093.870320942555,308.5275264196951,1402.39784736225,2165,123411.01056787804,2243.8365557796005,2203.768045854965,operating,2023.0,Xinjiang Corps South 45th Regiment solar power plant,39.4703,75.9875
626,光伏,广东,广东,50.0,59366.14603060049,3455.172520299501,62821.31855089999,0.055,1187.3229206120095,69.10345040599002,1256.4263710179998,1254,3455.172520299501,62.82131855090001,61.69950929106252,operating,2020.0,Guangdong Heshan Shuanghezhen (Yuanhua) solar farm,22.693,112.521
6260,光伏,新疆,新疆,20.0,22865.58465523799,6449.267466862001,29314.85212209999,0.2200000000000001,1143.2792327618995,322.46337334310005,1465.7426061049996,2103,6449.267466862001,117.25940848840003,115.1654904796786,operating,2013.0,Xinjiang Hami TBEA Grid-Connected solar farm,43.0293,93.6497
6261,光伏,新疆,新疆,20.0,21159.093761364005,5967.949522436002,27127.043283800005,0.22,1057.9546880682003,298.3974761218001,1356.3521641900004,2205,5967.949522436002,108.50817313520002,106.57052718635715,operating,2014.0,Xinjiang Bayingolin Guangrun solar farm,40.6544,87.8061
6262,光伏,山西,山西,30.0,40321.31642341251,5760.1880604875005,46081.50448390001,0.1249999999999999,1344.0438807804169,192.00626868291667,1536.0501494633336,1777,5760.1880604875005,104.73069200886363,102.86050108013394,operating,2018.0,Shanxi Xixian Huangtuzhen Changsheng Oriental solar farm,36.6279,111.1067
