learning_case,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,new_build_cost_pass_through_elasticity,incumbent_nonstack_learning_transfer_share,terminal_price_cny_per_kg,strict_record_count,retain_low_count,reach_6p5_count,aggregate_tax_free_transfer_100m_cny,npv_6p5_100m_cny
conservative,0.5,0.5,0.25,0.0,0.25,28.0,710,710,4,0.044374922123895086,-18.899540533265757
conservative,0.5,0.5,0.25,0.0,0.5,28.0,710,710,4,0.08874984424779017,-18.892086173289023
conservative,0.5,0.5,0.25,0.0,0.75,28.0,710,710,5,0.13312476637168527,-18.884631813312296
conservative,0.5,0.5,0.25,0.0,1.0,28.0,710,710,5,0.17749968849558034,-18.877177453335563
conservative,0.5,0.5,0.25,0.25,0.0,26.062802598661445,710,211,0,0.0,-29.820032384179935
conservative,0.5,0.5,0.25,0.25,0.25,26.062802598661445,710,211,0,0.044374922123895086,-29.812578024203205
conservative,0.5,0.5,0.25,0.25,0.5,26.062802598661445,710,211,0,0.08874984424779017,-29.805123664226475
conservative,0.5,0.5,0.25,0.25,0.75,26.062802598661445,710,211,0,0.13312476637168527,-29.797669304249748
conservative,0.5,0.5,0.25,0.25,1.0,26.062802598661445,710,212,0,0.17749968849558034,-29.790214944273018
conservative,0.5,0.5,0.25,0.5,0.0,24.25963140345692,710,4,0,0.0,-40.16518185434939
conservative,0.5,0.5,0.25,0.5,0.25,24.25963140345692,710,5,0,0.044374922123895086,-40.15772749437266
conservative,0.5,0.5,0.25,0.5,0.5,24.25963140345692,710,7,0,0.08874984424779017,-40.15027313439593
conservative,0.5,0.5,0.25,0.5,0.75,24.25963140345692,710,7,0,0.13312476637168527,-40.1428187744192
conservative,0.5,0.5,0.25,0.5,1.0,24.25963140345692,710,8,0,0.17749968849558034,-40.13536441444247
conservative,0.5,0.5,0.25,0.75,0.0,22.58121372802092,710,0,0,0.0,-49.885008561596706
conservative,0.5,0.5,0.25,0.75,0.25,22.58121372802092,710,0,0,0.044374922123895086,-49.87755420161998
conservative,0.5,0.5,0.25,0.75,0.5,22.58121372802092,710,0,0,0.08874984424779017,-49.870099841643245
conservative,0.5,0.5,0.25,0.75,0.75,22.58121372802092,710,0,0,0.13312476637168527,-49.862645481666526
conservative,0.5,0.5,0.25,0.75,1.0,22.58121372802092,710,4,0,0.17749968849558034,-49.8551911216898
conservative,0.5,0.5,0.25,1.0,0.0,21.018918422556897,710,0,0,0.0,-59.017191355743236
conservative,0.5,0.5,0.25,1.0,0.25,21.018918422556897,710,0,0,0.044374922123895086,-59.00973699576651
conservative,0.5,0.5,0.25,1.0,0.5,21.018918422556897,710,0,0,0.08874984424779017,-59.002282635789776
conservative,0.5,0.5,0.25,1.0,0.75,21.018918422556897,710,0,0,0.13312476637168527,-58.99482827581305
conservative,0.5,0.5,0.25,1.0,1.0,21.018918422556897,710,0,0,0.17749968849558034,-58.987373915836315
conservative,0.675,0.2,0.135,0.0,0.0,28.0,710,710,0,0.0,-18.906994893242487
conservative,0.675,0.2,0.135,0.0,0.25,28.0,710,710,4,0.06570732826284705,-18.89595623593785
conservative,0.675,0.2,0.135,0.0,0.5,28.0,710,710,5,0.1314146565256941,-18.88491757863321
conservative,0.675,0.2,0.135,0.0,0.75,28.0,710,710,5,0.19712198478854115,-18.873878921328572
conservative,0.675,0.2,0.135,0.0,1.0,28.0,710,710,7,0.2628293130513882,-18.86284026402394
conservative,0.675,0.2,0.135,0.25,0.0,25.751421709025838,710,162,0,0.0,-32.03157350695264
conservative,0.675,0.2,0.135,0.25,0.25,25.751421709025838,710,162,0,0.06570732826284705,-32.020534849648
conservative,0.675,0.2,0.135,0.25,0.5,25.751421709025838,710,162,0,0.1314146565256941,-32.00949619234336
conservative,0.675,0.2,0.135,0.25,0.75,25.751421709025838,710,163,0,0.19712198478854115,-31.998457535038725
conservative,0.675,0.2,0.135,0.25,1.0,25.751421709025838,710,163,0,0.2628293130513882,-31.98741887773409
conservative,0.675,0.2,0.135,0.5,0.0,23.6834185727174,710,0,0,0.0,-44.296719486538564
conservative,0.675,0.2,0.135,0.5,0.25,23.6834185727174,710,4,0,0.06570732826284705,-44.28568082923393
conservative,0.675,0.2,0.135,0.5,0.5,23.6834185727174,710,5,0,0.1314146565256941,-44.2746421719293
