ObjectId,merge_province_cn,power_type_cn,viable_at_zero_hurdle,critical_nominal_equity_return,critical_nominal_equity_return_pct,right_censored_at_15pct
1115,贵州,光伏,False,,,False
11154,天津,光伏,False,,,False
1116,广西,光伏,False,,,False
11161,天津,光伏,False,,,False
11163,天津,光伏,False,,,False
11169,天津,光伏,False,,,False
11171,浙江,光伏,False,,,False
11172,江苏,光伏,False,,,False
11174,浙江,光伏,False,,,False
11175,浙江,光伏,False,,,False
11178,青海,光伏,False,,,False
11181,山西,光伏,False,,,False
11183,山西,光伏,False,,,False
11186,西藏,光伏,False,,,False
11187,西藏,光伏,True,0.09898727587424222,9.898727587424222,False
11188,西藏,光伏,True,0.11115227770060301,11.1152277700603,False
11189,西藏,光伏,True,0.0985922513063997,9.85922513063997,False
11191,辽宁,光伏,False,,,False
11193,辽宁,光伏,False,,,False
112,甘肃,光伏,False,,,False
11201,辽宁,光伏,False,,,False
11202,江苏,光伏,False,,,False
11203,四川,光伏,False,,,False
11204,福建,光伏,False,,,False
11205,陕西,光伏,False,,,False
11208,山西,光伏,False,,,False
11209,江西,光伏,False,,,False
11210,江西,光伏,False,,,False
11211,吉林,光伏,False,,,False
11214,内蒙古,光伏,False,,,False
11220,浙江,光伏,False,,,False
11223,浙江,光伏,False,,,False
11226,浙江,光伏,False,,,False
11227,浙江,光伏,False,,,False
1123,贵州,光伏,False,,,False
11236,山东,光伏,False,,,False
11239,浙江,光伏,False,,,False
1124,广西,光伏,False,,,False
11241,山东,光伏,False,,,False
11243,江苏,光伏,False,,,False
11245,山西,光伏,False,,,False
11247,浙江,光伏,False,,,False
1125,广东,光伏,False,,,False
11251,山东,光伏,False,,,False
11253,河北,光伏,False,,,False
11256,山东,光伏,False,,,False
11258,江西,光伏,False,,,False
11262,山东,光伏,False,,,False
11264,山东,光伏,False,,,False
11267,浙江,光伏,False,,,False
11268,江苏,光伏,False,,,False
1127,广东,光伏,False,,,False
11273,河北,光伏,False,,,False
11277,浙江,光伏,False,,,False
11278,浙江,光伏,False,,,False
1128,贵州,光伏,False,,,False
11280,山东,光伏,False,,,False
11282,安徽,光伏,False,,,False
11283,陕西,光伏,False,,,False
11286,河南,光伏,False,,,False
