ObjectId,merge_province_cn,power_type_cn,resource_branch,terminal_h2_price,strict_marginal_vs_6p5,retain_low_return,raw_npv_colocated_6p5_pass,raw_npv_independent_h2_8_pass,reach_colocated_6p5,reach_independent_h2_8,npv_low_100m_cny,npv_colocated_6p5_100m_cny
W8009,云南,风电,full_output_upper_bound,12.0,False,False,False,True,False,False,-0.2410438836099607,-0.008251375048194332
W8010,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.21579397497700695,-0.09833595251460431
W8011,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.37927840426862636,-0.101216273795101
W8012,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.21579397497700695,-0.09833595251460431
W8013,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.3754855932715996,-0.10020409640315943
W8014,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.21579397497700695,-0.09833595251460431
W8015,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.21579397497700695,-0.09833595251460431
W8016,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.13379226332379793,-0.060968289885486256
W8018,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.24690830625807195,-0.08525323278177956
W8020,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.09801481903696062,-0.03947241120221739
W8022,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.47656698211517773,-0.15490995965857193
W8023,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-1.1914174801563584,-0.3872749156800019
W8026,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.06583153293261242,-0.007247123970009447
W8027,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18220096658279855,-0.07779652965409505
W8039,云南,风电,full_output_upper_bound,12.0,False,False,False,True,False,False,-0.17550661452710756,-0.006532419985257387
W8040,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.11375782072260508,-0.006359819667483276
W8041,云南,风电,full_output_upper_bound,12.0,False,False,False,False,False,False,-0.18034530494507425,-0.02228107297606593
