scenario_id,resource_branch,system_capex_cny_per_kw,curtailed_power_price_cny_per_kwh,opex_accounting_case,fixed_om_rate,stack_replacement_share,resource_realization,debt_ratio,loan_rate,is_main,candidate_station_count,capacity_candidates_per_station,minimum_electrolyzer_capacity_mw,low_return_entry_count,colocated_6p5_same_configuration_count,colocated_6p5_independent_optimized_count,independent_h2_8_same_configuration_count,independent_h2_8_independent_optimized_count,strict_marginal_vs_6p5_count,strict_marginal_vs_8_count,low_return_station_count,low_return_capacity_gw,low_return_capex_100m_cny,low_return_h2_mt_per_year,low_return_mean_capture_target,low_return_median_capture_target,strict_6p5_station_count,strict_6p5_capacity_gw,strict_6p5_capex_100m_cny,strict_6p5_h2_mt_per_year,strict_6p5_mean_capture_target,strict_6p5_median_capture_target,strict_8_station_count,strict_8_capacity_gw,strict_8_capex_100m_cny,strict_8_h2_mt_per_year,strict_8_mean_capture_target,strict_8_median_capture_target
C754,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.8,0.025,False,10214,16,1.0,3410,1053,1508,857,1265,1902,2145,3410,15.58922343385991,1683.6361308568705,0.5027686828329252,0.4798826979472141,0.4,1902,3.367928110695645,363.7362359551297,0.0860451675153856,0.33675078864353314,0.3,2145,5.298305214560358,572.2169631725187,0.13920837557706411,0.34829836829836824,0.3
C755,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.8,0.035,False,10214,16,1.0,3084,964,1315,657,1162,1769,1922,3084,14.327046634297934,1547.3210365041768,0.4734661614035163,0.48232814526588846,0.4,1769,3.8034021741021724,410.7674348030347,0.10165218306795111,0.3359525155455059,0.3,1922,5.080240238060213,548.6659457105029,0.13836281078560095,0.3446409989594173,0.4
C756,curtailment_only,10800.0,0.05,WB_allin_2pct,0.02,0.0,1.0,0.8,0.045,False,10214,16,1.0,2788,836,1225,517,1072,1563,1716,2788,13.3218662704678,1438.7615572105224,0.4492120673467345,0.4870624103299856,0.4,1563,3.769443204841438,407.0998661228752,0.10412285534808904,0.33181701855406265,0.3,1716,4.611828301250365,498.07745653503946,0.12925890715634292,0.34774475524475523,0.3
C757,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.5,0.025,False,10214,16,1.0,1650,434,852,193,566,798,1084,1650,5.282534719014766,570.5137496535947,0.18846056053705182,0.5619090909090909,0.6,798,1.645014626709885,177.6615796846676,0.0499283672051702,0.41121553884711776,0.4,1084,2.3729323457581697,256.27669334188226,0.07491322061525124,0.46988007380073804,0.5
C758,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.5,0.035,False,10214,16,1.0,1590,354,739,150,502,851,1088,1590,5.073298877814839,547.9162788040026,0.18281114219566572,0.5605974842767295,0.6,851,1.7519344953778018,189.20892550080262,0.05462826270367072,0.4336662749706228,0.4,1088,2.382343470600355,257.2930948248383,0.07673920019958044,0.4798253676470589,0.5
C759,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.5,0.045,False,10214,16,1.0,1519,323,689,113,420,830,1099,1519,4.717813061426706,509.52381063408427,0.17304273519197685,0.5507109940750493,0.6,830,1.6139303750544167,174.30448050587702,0.05162732403397325,0.4305180722891567,0.4,1099,2.3997078415282704,259.16844688505324,0.07983513463380149,0.4803730664240218,0.5
C760,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.7,0.025,False,10214,16,1.0,1635,582,946,341,737,689,898,1635,5.228893710175571,564.7205206989616,0.18702059435730056,0.5620795107033639,0.6,689,1.3712887460564176,148.0991845740931,0.04113054283342195,0.3879535558780841,0.4,898,1.875622011618965,202.56717725484822,0.05802612229205847,0.43585746102449885,0.4
C761,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.7,0.035,False,10214,16,1.0,1522,511,877,283,651,645,871,1522,4.773424204953966,515.5298141350283,0.1745789674114883,0.5537647831800262,0.6,645,1.217901917629068,131.53340710393937,0.03782517676473011,0.3924496124031008,0.4,871,1.7357243628696508,187.4582311899223,0.05570283489762503,0.4410218140068886,0.5
C762,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.7,0.045,False,10214,16,1.0,1457,366,739,228,530,718,927,1457,4.466449151356901,482.3765083465453,0.16597320084561085,0.5435140700068635,0.6,718,1.332235468415938,143.88143058892135,0.04293737936845259,0.4058495821727019,0.4,927,1.8202023272785404,196.58185134608235,0.060442701273973436,0.44811218985976264,0.5
C763,curtailment_only,10800.0,0.05,WB_allin_3pct,0.03,0.0,0.5,0.8,0.025,False,10214,16,1.0,1625,748,1013,437,863,612,762,1625,5.172087975045366,558.5855013048995,0.1854912268301788,0.5591692307692309,0.6,612,1.22271050224132,132.05273424206257,0.0364147209255636,0.3678921568627451,0.4,762,1.5204994717535336,164.21394294938162,0.046319699577566584,0.40374015748031494,0.4
