ObjectId,merge_province_cn,power_type_cn,low_return_entry_weather_year_count,strict_marginal_weather_year_count,colocated_6p5_weather_year_count
11847,江苏,光伏,0,0,0
11849,江苏,光伏,0,0,0
11850,上海,光伏,0,0,0
11852,辽宁,光伏,0,0,0
11856,江苏,光伏,0,0,0
11858,江苏,光伏,0,0,0
11859,甘肃,光伏,0,0,0
1186,广西,光伏,0,0,0
11862,江苏,光伏,0,0,0
11863,山东,光伏,0,0,0
11865,浙江,光伏,0,0,0
11867,吉林,光伏,0,0,0
11868,山东,光伏,0,0,0
1187,广西,光伏,0,0,0
11871,陕西,光伏,0,0,0
11872,黑龙江,光伏,0,0,0
11875,浙江,光伏,0,0,0
11877,浙江,光伏,0,0,0
11879,辽宁,光伏,0,0,0
1188,贵州,光伏,0,0,0
11883,江西,光伏,0,0,0
11884,辽宁,光伏,0,0,0
11888,江西,光伏,0,0,0
11891,河南,光伏,0,0,0
11892,浙江,光伏,0,0,0
11897,浙江,光伏,0,0,0
119,甘肃,光伏,6,6,0
11900,山东,光伏,0,0,0
11905,上海,光伏,0,0,0
11907,山东,光伏,0,0,0
1191,贵州,光伏,0,0,0
11912,上海,光伏,0,0,0
11914,天津,光伏,0,0,0
11916,上海,光伏,0,0,0
1192,广西,光伏,0,0,0
11920,安徽,光伏,0,0,0
11925,山西,光伏,0,0,0
11927,河南,光伏,0,0,0
1193,广东,光伏,0,0,0
11938,山东,光伏,0,0,0
1194,贵州,光伏,0,0,0
11944,山东,光伏,0,0,0
11945,山东,光伏,0,0,0
1195,贵州,光伏,0,0,0
11953,山东,光伏,0,0,0
11956,陕西,光伏,0,0,0
11958,陕西,光伏,0,0,0
11959,河南,光伏,0,0,0
1196,广西,光伏,0,0,0
11965,江西,光伏,0,0,0
11969,河南,光伏,0,0,0
11976,河南,光伏,0,0,0
1198,广西,光伏,0,0,0
11984,宁夏,光伏,0,0,0
11985,西藏,光伏,6,0,6
1199,广东,光伏,0,0,0
11990,西藏,光伏,6,0,6
11991,河北,光伏,0,0,0
11995,河北,光伏,0,0,0
11996,山西,光伏,0,0,0
11999,山西,光伏,0,0,0
12,安徽,光伏,0,0,0
12003,江西,光伏,0,0,0
12004,山东,光伏,0,0,0
12005,山东,光伏,0,0,0
12008,山东,光伏,0,0,0
12016,云南,光伏,0,0,0
12018,山东,光伏,0,0,0
1202,广西,光伏,0,0,0
12021,山东,光伏,0,0,0
12022,山东,光伏,0,0,0
1203,广东,光伏,0,0,0
12030,河南,光伏,0,0,0
12032,山东,光伏,0,0,0
12033,河南,光伏,0,0,0
12037,江苏,光伏,0,0,0
12038,江苏,光伏,0,0,0
12039,江苏,光伏,0,0,0
1204,贵州,光伏,0,0,0
12040,天津,光伏,0,0,0
12042,陕西,光伏,0,0,0
12043,陕西,光伏,0,0,0
12044,陕西,光伏,0,0,0
