weather_year,province,low_return_entry_count,strict_marginal_count,strict_marginal_capacity_gw,strict_marginal_h2_mt_per_year,low_entry_min,low_entry_median,low_entry_max,strict_min,strict_median,strict_max,strict_capacity_gw_min,strict_capacity_gw_max,strict_h2_mt_min,strict_h2_mt_max
2023,湖南,0,0,0.0,0.0,0,0.0,2,0,0.0,2,0.0,0.0024779096823910243,0.0,6.83018794817893e-05
2023,甘肃,263,235,0.6131063233046181,0.017592323892039165,239,253.0,263,216,226.0,237,0.4868529117015945,0.6131063233046181,0.013986178993089994,0.017592323892039165
2023,福建,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,西藏,81,2,0.0024452187940866652,7.234302102255166e-05,80,80.5,81,1,1.5,2,0.0010993669393013204,0.002505828044324713,3.4606352819080037e-05,7.392469976021755e-05
2023,贵州,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,辽宁,171,5,0.006825306969179333,0.0002184613138309014,168,170.0,172,4,6.0,9,0.0049119421962875226,0.014590777934723777,0.0001546244396426152,0.00047383007936873935
2023,重庆,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2023,陕西,101,101,0.14016571990520213,0.004062822666759784,8,84.0,112,8,84.0,112,0.012010337366828572,0.15243428646524815,0.0003339583489313473,0.004600097453217204
2023,青海,203,113,0.15490922824500444,0.004935825994466919,196,204.0,212,112,115.5,128,0.14728558221936272,0.26785250948970785,0.004701703136913552,0.008257001027215365
2023,黑龙江,91,60,0.10713941493031022,0.003442748884908963,82,90.0,101,40,52.0,78,0.06346867430746032,0.13582461898862871,0.0020130719231357917,0.004240182549261972
2024,上海,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2024,云南,13,13,0.030946222516161297,0.0009123228779773685,0,3.5,13,0,3.5,13,0.0,0.030946222516161297,0.0,0.0009123228779773685
2024,内蒙古,486,53,0.10072706883083199,0.0031670811678011592,486,500.5,505,29,42.5,63,0.07074402222487562,0.14663767947648562,0.002157044660473353,0.004421317018469183
2024,北京,0,0,0.0,0.0,0,0.0,4,0,0.0,4,0.0,0.008470775884025448,0.0,0.00023878562948387847
2024,吉林,121,2,0.002450427841509769,8.11001594364625e-05,121,121.0,121,1,1.5,2,0.0010501510149906353,0.002450427841509769,3.4484252558303004e-05,8.11001594364625e-05
2024,四川,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
2024,天津,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0
