electrical_buffer_hours,round_trip_efficiency,battery_capex_cny_per_kwh,battery_fixed_om_rate,battery_replacement_interval_years,battery_replacement_cost_factor,free_lossless_upper_bound,learning_case,strict_record_count,electrolyser_input_twh_per_year,raw_electricity_draw_twh_per_year,ending_stored_energy_gwh,battery_capex_100m_cny,mean_h2_mt_per_year,retain_low_count,reach_6p5_count,zero_buffer_max_absorbed_kwh_error
1.0,0.9,1500.0,0.025,20.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05745127495548779,515,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,20.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05800545519908095,664,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,20.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05745127495548779,372,0,1.4156103134155273e-06
1.0,0.9,1500.0,0.025,20.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,22.98561503801588,0.05800545519908095,570,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,10.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05745127495548779,0,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,10.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05800545519908095,4,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,10.0,1.0,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05745127495548779,0,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,10.0,1.0,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05800545519908095,0,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,15.0,0.7,False,none,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05745127495548779,16,0,1.4156103134155273e-06
1.0,0.9,2400.0,0.025,15.0,0.7,False,combined,710,3.2785180206431566,3.3398216259514046,0.12987274683518454,36.776984060825406,0.05800545519908095,119,0,1.4156103134155273e-06
