ObjectId,province,technology,initial_6p5_gap_100m_cny,operating_learning_gain_100m_cny,gap_share_of_initial_capex,gain_share_of_initial_capex,learning_gain_share_of_gap,closes_gap_at_baseline_learning
6362,Xinjiang,solar PV,0.1064532454578887,0.0,0.2099704320526914,0.0,0.0,False
6365,Xinjiang,solar PV,0.017077968017359,0.0,0.237194000241098,0.0,0.0,False
6380,Xinjiang,solar PV,0.018086678583316,0.0,0.2512038692127227,0.0,0.0,False
6387,Xinjiang,solar PV,0.0153462061970488,0.0,0.2131417527367902,0.0,0.0,False
6388,Xinjiang,solar PV,0.0254175170875063,0.0,0.1814761640394948,0.0,0.0,False
6389,Xinjiang,solar PV,0.0203033674267931,0.0,0.1545075967118484,0.0,0.0,False
6394,Xinjiang,solar PV,0.0315513151190316,0.0,0.1791556108533782,0.0,0.0,False
6405,Xinjiang,solar PV,0.1719946784914662,0.0,0.2074581509178675,0.0,0.0,False
6415,Xinjiang,solar PV,0.0185137879562955,0.0,0.2571359438374382,0.0,0.0,False
6428,Xinjiang,solar PV,0.0160666742101065,0.0,0.223148252918147,0.0,0.0,False
6435,Xinjiang,solar PV,0.0309257505179956,0.0,0.1838834751167027,0.0,0.0,False
6443,Xinjiang,solar PV,0.018536565341772,0.0,0.2574522964135013,0.0,0.0,False
6447,Xinjiang,solar PV,0.0420097217439852,0.0,0.2097267351905216,0.0,0.0,False
6451,Xinjiang,solar PV,0.0133483798027143,0.0,0.1680952824454795,0.0,0.0,False
6465,Xinjiang,solar PV,0.0158299008004632,0.0,0.2198597333397677,0.0,0.0,False
6467,Xinjiang,solar PV,0.0182554410132975,0.0,0.253547791851355,0.0,0.0,False
6468,Xinjiang,solar PV,0.014779554643568,0.0,0.2052715922717786,0.0,0.0,False
6475,Xinjiang,solar PV,0.0266878763929719,0.0,0.2031212107099684,0.0,0.0,False
6476,Xinjiang,solar PV,0.014779554643568,0.0,0.2052715922717786,0.0,0.0,False
6485,Xinjiang,solar PV,0.0169402853044469,0.0,0.2352817403395404,0.0,0.0,False
6528,Xinjiang,solar PV,0.0200182063390827,0.0,0.1604389809399175,0.0,0.0,False
6536,Xinjiang,solar PV,0.0195674233291585,0.0,0.1637930566515537,0.0,0.0,False
6538,Xinjiang,solar PV,0.0160085934183149,0.0,0.2223415752543741,0.0,0.0,False
6548,Xinjiang,solar PV,0.0160085934183149,0.0,0.2223415752543741,0.0,0.0,False
6559,Xinjiang,solar PV,0.0234420646777055,0.0,0.1937146298381052,0.0,0.0,False
6564,Xinjiang,solar PV,0.0160670825422586,0.0,0.2231539241980362,0.0,0.0,False
6565,Xinjiang,solar PV,0.0398528079297982,0.0,0.2215877658406795,0.0,0.0,False
6566,Xinjiang,solar PV,0.0153823173731801,0.0,0.213643296849724,0.0,0.0,False
6574,Xinjiang,solar PV,0.014677244363081,0.0,0.2038506161539032,0.0,0.0,False
6576,Xinjiang,solar PV,0.0375293943394571,0.0,0.221498873830804,0.0,0.0,False
6579,Xinjiang,solar PV,0.1500897084270708,0.0,0.1954352297061192,0.0,0.0,False
6582,Xinjiang,solar PV,0.139321995351301,0.0,0.1950573058983497,0.0,0.0,False
6590,Xinjiang,solar PV,0.0139800941332426,0.0,0.1941679740728149,0.0,0.0,False
6598,Xinjiang,solar PV,0.1166115962592383,0.0,0.2036624777665617,0.0,0.0,False
6602,Xinjiang,solar PV,0.0153740277285918,0.0,0.2135281628971084,0.0,0.0,False
6607,Xinjiang,solar PV,0.0198829804187252,0.0,0.2080927231205693,0.0,0.0,False
6609,Xinjiang,solar PV,0.1482337381059195,0.0,0.2033730840775973,0.0,0.0,False
6625,Xinjiang,solar PV,0.0238374923684086,0.0,0.2105893542271775,0.0,0.0,False
6628,Xinjiang,solar PV,0.0205519470737335,0.0,0.20748342086147,0.0,0.0,False
6634,Xinjiang,solar PV,0.0178190875378196,0.0,0.2474873269141614,0.0,0.0,False
6638,Xinjiang,solar PV,0.0236581766347998,0.0,0.2062284091368218,0.0,0.0,False
6644,Xinjiang,solar PV,0.014715796152558,0.0,0.2043860576744177,0.0,0.0,False
6659,Xinjiang,solar PV,0.0186482767730317,0.0,0.2590038440698857,0.0,0.0,False
6669,Xinjiang,solar PV,0.0151332836850868,0.0,0.1989263707885973,0.0,0.0,False
6672,Xinjiang,solar PV,0.0148459552987429,0.0,0.1795251631514957,0.0,0.0,False
6675,Xinjiang,solar PV,0.0141644146373141,0.0,0.1967279810738076,0.0,0.0,False
6707,Xinjiang,solar PV,0.0163348234604076,0.0,0.2268725480612176,0.0,0.0,False
6720,Xinjiang,solar PV,0.0154991456573275,0.0,0.2152659119073277,0.0,0.0,False
6731,Xinjiang,solar PV,0.0186277089902013,0.0,0.2587181804194628,0.0,0.0,False
6739,Xinjiang,solar PV,0.1269407713324225,0.0,0.1793547890171687,0.0,0.0,False
6740,Xinjiang,solar PV,0.0139608657838333,0.0,0.1939009136643514,0.0,0.0,False
6745,Xinjiang,solar PV,0.0165086322148252,0.0,0.2262934033366911,0.0,0.0,False
6747,Xinjiang,solar PV,0.114227065884827,0.0,0.2114706512015562,0.0,0.0,False
6753,Xinjiang,solar PV,0.0112569495664709,0.0,0.1516521400173284,0.0,0.0,False
6755,Xinjiang,solar PV,0.0156313298720904,0.0,0.2171018037790338,0.0,0.0,False
6760,Xinjiang,solar PV,0.0157184235525239,0.0,0.1702645645069159,0.0,0.0,False
6764,Xinjiang,solar PV,0.015669439573487,0.0,0.2176311051873195,0.0,0.0,False
6766,Xinjiang,solar PV,0.0847876196980803,0.0,0.1537051875873094,0.0,0.0,False
6777,Xinjiang,solar PV,0.0171585471125292,0.0,0.2383131543406839,0.0,0.0,False
