learning_case,central_component_case,year,direct_capex_share_of_installed_capex,stack_share_of_direct_capex,stack_share_of_installed_capex,nonstack_equipment_share_of_installed_capex,bop_epc_share_of_installed_capex,stack_embodied_newbuild_capital_saving_share,nonstack_equipment_newbuild_capital_saving_share,bop_epc_newbuild_capital_saving_share,total_newbuild_capital_saving_share,incumbent_stack_embodied_share_of_newbuild_capital_saving
base,False,2027,0.5,0.25,0.125,0.375,0.5,0.04974647162393053,0.1492394148717916,0.08523889238853533,0.28422477888425746,0.17502510449375136
base,False,2028,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.09941652637300585,0.32441652637300583,0.1733882075271504
base,False,2029,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.10874621846861265,0.33374621846861263,0.16854123548755673
base,False,2030,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.11566665012648902,0.340666650126489,0.16511742484658964
base,False,2031,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.12511806609112414,0.3501180660911241,0.1606600899747915
base,False,2032,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.13202547152629818,0.35702547152629815,0.15755178407727885
base,False,2033,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.13744942872632931,0.3624494287263293,0.1551940644455314
base,False,2034,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.14190372596657924,0.3669037259665792,0.15330997212365113
base,False,2035,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.14567579530237512,0.3706757953023751,0.1517498598852796
base,False,2036,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.1489424461381953,0.3739424461381953,0.1504242179001313
base,False,2037,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.1518200584802583,0.3768200584802583,0.1492754929948798
base,False,2038,0.5,0.25,0.125,0.375,0.5,0.056249999999999994,0.16874999999999998,0.15438923494022572,0.3793892349402257,0.14826461802181184
