ObjectId,merge_province_cn,power_type_cn,capacity_mw,latitude,longitude,resource_branch,low_return_entry,colocated_6p5_same_configuration,colocated_6p5_independent_optimized,independent_h2_8_independent_optimized,strict_marginal_vs_6p5,strict_marginal_vs_8,optimized_capture_target,optimized_electrolyzer_mw,optimized_h2_t_per_year,npv_low_100m_cny,npv_colocated_6p5_100m_cny,npv_independent_h2_8_100m_cny
10203,山东,光伏,5.5,37.1767,116.8508,curtailment_only,False,False,False,False,False,False,0.01,0.002186540247188851,0.04076715494068275,-0.0001369479905122961,-0.00011602129430917739,-0.00011043588202395456
10207,甘肃,光伏,6.0,39.3473,100.188,curtailment_only,False,False,False,False,False,False,0.99,1.1393956780801258,14.794944576796755,-0.1223148700451198,-0.08439709026446911,-0.07761493194916054
10209,河北,光伏,4.0,36.2634,114.5417,curtailment_only,False,False,False,False,False,False,0.01,0.0022796556580176814,0.05356460619559544,-6.386635689956302e-05,-8.198179582328985e-05,-8.206170131980927e-05
1021,广西,光伏,70.0,22.2931,107.437,curtailment_only,False,False,False,False,False,False,0.4,1.415980787554052,19.102688549535877,-0.14578852000965906,-0.10216639145855608,-0.0942205117097751
10210,河南,光伏,9.0,36.0674,113.8105,curtailment_only,False,False,False,False,False,False,0.01,0.0024732208593032374,0.03560354952387688,-0.0002360170299126198,-0.00016996237757018723,-0.0001575130068531212
10211,陕西,光伏,15.0,37.577,107.769,curtailment_only,False,False,False,False,False,False,0.6,1.102556966160036,19.904492837982183,-0.07376145303041373,-0.06073248274371691,-0.057559455780660136
10213,吉林,光伏,2.8,43.4873,124.3329,curtailment_only,False,False,False,False,False,False,0.01,0.0009585733799697951,0.018959785813639198,-5.2236181046448855e-05,-4.701600215495974e-05,-4.5151289398226474e-05
10216,浙江,光伏,1.5,28.4704,119.9184,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
1022,广西,光伏,100.0,22.3178,107.5838,curtailment_only,False,False,False,False,False,False,0.3,1.3933355752021297,20.46841823979656,-0.12937749731690013,-0.0940251337579005,-0.08728253005640031
10221,浙江,光伏,2.2,28.4704,119.9184,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10226,浙江,光伏,2.3,28.4704,119.9184,curtailment_only,False,False,False,False,False,False,0.01,0.0,0.0,0.0,0.0,0.0
10227,西藏,光伏,15.0,28.5592,89.6797,curtailment_only,True,True,True,True,False,False,0.6,3.3160786359374304,118.21848260663394,0.16708523532588773,0.011557480074900877,-0.007619073559699415
10228,江苏,光伏,17.5,31.507,121.329,curtailment_only,False,False,False,False,False,False,0.01,0.002198695501619782,0.02196189595012302,-0.0002910666278560501,-0.00018864737409485805,-0.00017136944188189638
10229,湖南,光伏,1.0,28.2179,113.7002,curtailment_only,False,False,False,False,False,False,0.01,0.0002305357164414589,0.003708188572390132,-1.8688108473222844e-05,-1.430781074858034e-05,-1.3400309947913967e-05
1023,广西,光伏,30.0,22.327,106.915,curtailment_only,False,False,False,False,False,False,0.6,1.016365068876113,10.938170259366702,-0.12799388664975236,-0.08413336973287784,-0.07664556533623025
10233,江苏,光伏,5.7,31.4179,119.4787,curtailment_only,False,False,False,False,False,False,0.01,0.0006781997359033874,0.007032500834896268,-8.760233624269686e-05,-5.718415541930104e-05,-5.2021309388880315e-05
